Company,TypeName,Inches,OpSys,Weight,Price,Ram_capacity,Ram_model,Touchscreen,Screen_resolution,Brand_RAM,Model,Clockspeed,Memory1,Memory2,Capacity1,Storage_Type_1,Capacity2,Storage_Type_2,ScreenResolution_encoded,Cpu_encoded,Gpu_encoded,Memory_encoded
Lenovo,Notebook,17.3,Windows 10,2.4,319.0,6.0,0,0,1920x1080,AMD,A10-Series 9600P,2.4,128GB HDD,0,128.0,HDD,0.0,0,35,0,18,0
HP,Notebook,17.3,Windows 10,2.65,363.8,4.0,0,0,1920x1080,AMD,A10-Series 9600P,2.4,128GB HDD,0,128.0,HDD,0.0,0,42,0,29,0
Acer,Notebook,17.3,Windows 10,2.2,370.2,4.0,0,0,1366x768,AMD,A10-Series 9620P,2.5,128GB HDD,0,128.0,HDD,0.0,0,0,1,34,0
HP,Notebook,15.6,Windows 10,2.71,418.8,4.0,0,0,1920x1080,AMD,A10-Series 9620P,2.5,500GB HDD,0,500.0,HDD,0.0,0,42,1,7,10
HP,Notebook,17.3,Windows 10,1.91,363.7,4.0,0,0,1920x1080,AMD,A10-Series A10-9620P,2.5,128GB HDD,0,128.0,HDD,0.0,0,42,2,7,0
Asus,Notebook,17.3,Windows 10,2.2,367.6,4.0,0,0,1920x1080,AMD,A10-Series A10-9620P,2.5,128GB HDD,0,128.0,HDD,0.0,0,35,2,24,0
HP,Notebook,15.6,Windows 10,2.04,402.2,4.0,0,0,1366x768,AMD,A12-Series 9700P,2.5,256GB SSD,0,256.0,SSD,0.0,0,0,3,26,7
HP,Notebook,17.3,Windows 10,2.1,338.2,4.0,0,0,1920x1080,AMD,A12-Series 9720P,2.7,128GB HDD,0,128.0,HDD,0.0,0,35,4,7,0
Acer,Notebook,15.6,Windows 10,2.2,421.3,8.0,0,0,1366x768,AMD,A12-Series 9720P,2.7,500GB HDD,0,500.0,HDD,0.0,0,0,4,34,10
Lenovo,Notebook,15.6,Windows 10,2.2,274.3,4.0,0,0,1366x768,AMD,A12-Series 9720P,3.6,128GB HDD,0,128.0,HDD,0.0,0,0,5,25,0
