Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,Ram_capacity,Ram_model,Touchscreen,Screen_resolution,Brand_RAM,Model,Clockspeed,Memory1,Memory2,Capacity1,Storage_Type_1,Capacity2,Storage_Type_2
Lenovo,Notebook,17.3,Full HD 1920x1080,AMD A10-Series 9600P 2.4GHz,6GB,128GB HDD,AMD Radeon R5 430,Windows 10,2.4,319.0,6,,0,1920x1080,AMD,A10-Series 9600P,2.4,128GB HDD,,128,HDD,,
HP,Notebook,17.3,IPS Panel Full HD 1920x1080,AMD A10-Series 9600P 2.4GHz,4GB,128GB HDD,AMD Radeon R7 M440,Windows 10,2.65,363.8,4,,0,1920x1080,AMD,A10-Series 9600P,2.4,128GB HDD,,128,HDD,,
Acer,Notebook,17.3,1366x768,AMD A10-Series 9620P 2.5GHz,4GB,128GB HDD,AMD Radeon RX 540,Windows 10,2.2,370.2,4,,0,1366x768,AMD,A10-Series 9620P,2.5,128GB HDD,,128,HDD,,
HP,Notebook,15.6,IPS Panel Full HD 1920x1080,AMD A10-Series 9620P 2.5GHz,4GB,500GB HDD,AMD Radeon 530,Windows 10,2.71,418.8,4,,0,1920x1080,AMD,A10-Series 9620P,2.5,500GB HDD,,500,HDD,,
HP,Notebook,17.3,IPS Panel Full HD 1920x1080,AMD A10-Series A10-9620P 2.5GHz,4GB,128GB HDD,AMD Radeon 530,Windows 10,1.91,363.7,4,,0,1920x1080,AMD,A10-Series A10-9620P,2.5,128GB HDD,,128,HDD,,
Asus,Notebook,17.3,Full HD 1920x1080,AMD A10-Series A10-9620P 2.5GHz,4GB,128GB HDD,AMD Radeon R5 M430,Windows 10,2.2,367.6,4,,0,1920x1080,AMD,A10-Series A10-9620P,2.5,128GB HDD,,128,HDD,,
HP,Notebook,15.6,1366x768,AMD A12-Series 9700P 2.5GHz,4GB,256GB SSD,AMD Radeon R7 Graphics,Windows 10,2.04,402.2,4,,0,1366x768,AMD,A12-Series 9700P,2.5,256GB SSD,,256,SSD,,
HP,Notebook,17.3,Full HD 1920x1080,AMD A12-Series 9720P 2.7GHz,4GB,128GB HDD,AMD Radeon 530,Windows 10,2.1,338.2,4,,0,1920x1080,AMD,A12-Series 9720P,2.7,128GB HDD,,128,HDD,,
Acer,Notebook,15.6,1366x768,AMD A12-Series 9720P 2.7GHz,8GB,500GB HDD,AMD Radeon RX 540,Windows 10,2.2,421.3,8,,0,1366x768,AMD,A12-Series 9720P,2.7,500GB HDD,,500,HDD,,
Lenovo,Notebook,15.6,1366x768,AMD A12-Series 9720P 3.6GHz,4GB,128GB HDD,AMD Radeon R7,Windows 10,2.2,274.3,4,,0,1366x768,AMD,A12-Series 9720P,3.6,128GB HDD,,128,HDD,,
Lenovo,Notebook,17.3,Full HD 1920x1080,AMD A12-Series 9720P 3.6GHz,4GB,128GB HDD,AMD Radeon 530,Windows 10,2.2,351.0,4,,0,1920x1080,AMD,A12-Series 9720P,3.6,128GB HDD,,128,HDD,,
Lenovo,Notebook,17.3,Full HD 1920x1080,AMD A12-Series 9720P 3.6GHz,8GB,256GB SSD,AMD Radeon 530,Windows 10,2.2,382.1,8,,0,1920x1080,AMD,A12-Series 9720P,3.6,256GB SSD,,256,SSD,,
Lenovo,Notebook,15.6,Full HD 1920x1080,AMD A12-Series 9720P 3.6GHz,12GB,256GB SSD,AMD Radeon 530,Windows 10,2.2,574.8,12,,0,1920x1080,AMD,A12-Series 9720P,3.6,256GB SSD,,256,SSD,,
Lenovo,Ultrabook,17.3,Full HD 1920x1080,AMD A12-Series 9720P 3.6GHz,12GB,256GB SSD,AMD Radeon 530,System Windows 10 Home,2.2,606.8,12,,0,1920x1080,AMD,A12-Series 9720P,3.6,256GB SSD,,256,SSD,,
Lenovo,Notebook,15.6,1600x900,AMD A4-Series 7210 2.2GHz,4GB,128GB HDD,AMD Radeon R3,Windows 10,2.8,242.3,4,,0,1600x900,AMD,A4-Series 7210,2.2,128GB HDD,,128,HDD,,
Lenovo,Notebook,14.0,1366x768,AMD A6-Series 7310 2GHz,4GB,128GB HDD,AMD Radeon R4,Windows 10,2.19,190.5,4,,0,1366x768,AMD,A6-Series 7310,2,128GB HDD,,128,HDD,,
HP,Notebook,15.6,1366x768,AMD A6-Series 9220 2.5GHz,4GB,128GB HDD,AMD Radeon R4 Graphics,Windows 10,1.86,235.9,4,,0,1366x768,AMD,A6-Series 9220,2.5,128GB HDD,,128,HDD,,
HP,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4GB,128GB HDD,AMD Radeon R4,Windows 10,2.1,254.5,4,,0,1920x1080,AMD,A6-Series 9220,2.5,128GB HDD,,128,HDD,,
HP,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4GB,128GB HDD,AMD Radeon R4 Graphics,Windows 10,1.86,254.8,4,,0,1920x1080,AMD,A6-Series 9220,2.5,128GB HDD,,128,HDD,,
HP,Notebook,15.6,1366x768,AMD A6-Series 9220 2.5GHz,4GB,128GB HDD,AMD Radeon R4 Graphics,Windows 10,1.86,255.1,4,,0,1366x768,AMD,A6-Series 9220,2.5,128GB HDD,,128,HDD,,
Lenovo,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4GB,128GB HDD,AMD R4 Graphics,Windows 10,2.2,255.1,4,,0,1920x1080,AMD,A6-Series 9220,2.5,128GB HDD,,128,HDD,,
HP,Notebook,17.3,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4GB,128GB HDD,AMD Radeon 530,Windows 10,2.71,280.7,4,,0,1920x1080,AMD,A6-Series 9220,2.5,128GB HDD,,128,HDD,,
Lenovo,Notebook,17.3,1600x900,AMD A6-Series 9220 2.5GHz,4GB,128GB HDD,AMD Radeon R4,Windows 10,2.8,331.8,4,,0,1600x900,AMD,A6-Series 9220,2.5,128GB HDD,,128,HDD,,
HP,Notebook,15.6,1366x768,AMD A6-Series A6-9220 2.5GHz,4GB,128GB HDD,AMD Radeon R4 Graphics,Windows 10,1.91,285.1,4,,0,1366x768,AMD,A6-Series A6-9220,2.5,128GB HDD,,128,HDD,,
HP,Notebook,17.3,Full HD 1920x1080,AMD A6-Series A6-9220 2.5GHz,4GB,128GB HDD,AMD Radeon 520,Windows 10,1.91,306.2,4,,0,1920x1080,AMD,A6-Series A6-9220,2.5,128GB HDD,,128,HDD,,
Acer,Notebook,15.6,1366x768,AMD A8-Series 7410 2.2GHz,4GB,128GB HDD,AMD Radeon R5,Windows 10,2.4,247.4,4,,0,1366x768,AMD,A8-Series 7410,2.2,128GB HDD,,128,HDD,,
Acer,Notebook,15.6,1366x768,AMD A8-Series 7410 2.2GHz,4GB,128GB HDD,AMD Radeon R5,Windows 10,2.4,287.1,4,,0,1366x768,AMD,A8-Series 7410,2.2,128GB HDD,,128,HDD,,
Acer,Notebook,17.3,Full HD 1920x1080,AMD A8-Series 7410 2.2GHz,4GB,128GB HDD,AMD Radeon R5,Windows 10,2.23,299.9,4,,0,1920x1080,AMD,A8-Series 7410,2.2,128GB HDD,,128,HDD,,
Lenovo,Notebook,17.3,1600x900,AMD A8-Series 7410 2.2GHz,4GB,128GB HDD,AMD Radeon R5,Windows 10,2.6,312.6,4,,0,1600x900,AMD,A8-Series 7410,2.2,128GB HDD,,128,HDD,,
HP,Notebook,17.3,Full HD 1920x1080,AMD A9-Series 9410 2.9GHz,4GB,128GB HDD,AMD Radeon R7 M440,Windows 10,2.04,351.6,4,,0,1920x1080,AMD,A9-Series 9410,2.9,128GB HDD,,128,HDD,,
HP,Notebook,17.3,Full HD 1920x1080,AMD A9-Series 9410 2.9GHz,4GB,128GB HDD,AMD Radeon R7 M440,Windows 10,2.04,351.6,4,,0,1920x1080,AMD,A9-Series 9410,2.9,128GB HDD,,128,HDD,,
HP,Notebook,17.3,Full HD 1920x1080,AMD A9-Series 9410 2.9GHz,4GB,128GB HDD,AMD Radeon R7 M440,Windows 10,2.04,351.6,4,,0,1920x1080,AMD,A9-Series 9410,2.9,128GB HDD,,128,HDD,,
Lenovo,Notebook,15.6,Full HD 1920x1080,AMD A9-Series 9420 2.9GHz,4GB,128GB HDD,AMD Radeon 530,Windows 10,2.2,255.1,4,,0,1920x1080,AMD,A9-Series 9420,2.9,128GB HDD,,128,HDD,,
Acer,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4GB,128GB HDD,AMD Radeon R5,Windows 10,2.1,252.5,4,,0,1366x768,AMD,A9-Series 9420,3,128GB HDD,,128,HDD,,
Acer,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4GB,128GB HDD,AMD Radeon R5,Windows 10,2.1,255.7,4,,0,1366x768,AMD,A9-Series 9420,3,128GB HDD,,128,HDD,,
Asus,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4GB,128GB HDD,AMD Radeon R5 M420,Windows 10,2.03,257.7,4,,0,1366x768,AMD,A9-Series 9420,3,128GB HDD,,128,HDD,,
Acer,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4GB,128GB HDD,AMD Radeon R5,Windows 10,2.1,261.5,4,,0,1366x768,AMD,A9-Series 9420,3,128GB HDD,,128,HDD,,
Acer,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4GB,128GB HDD,AMD Radeon R5,Windows 10,2.1,272.4,4,,0,1366x768,AMD,A9-Series 9420,3,128GB HDD,,128,HDD,,
Acer,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4GB,128GB HDD,AMD Radeon R5,Windows 10,2.1,288.4,4,,0,1366x768,AMD,A9-Series 9420,3,128GB HDD,,128,HDD,,
Asus,Notebook,17.3,1366x768,AMD A9-Series 9420 3GHz,4GB,128GB HDD,AMD Radeon R5 M420,Windows 10,1.68,299.9,4,,0,1366x768,AMD,A9-Series 9420,3,128GB HDD,,128,HDD,,
HP,Notebook,15.6,Full HD 1920x1080,AMD A9-Series 9420 3GHz,4GB,128GB HDD,AMD Radeon R5,Windows 10,1.91,312.6,4,,0,1920x1080,AMD,A9-Series 9420,3,128GB HDD,,128,HDD,,
HP,Notebook,15.6,Full HD 1920x1080,AMD A9-Series 9420 3GHz,4GB,128GB HDD,AMD Radeon 520,Windows 10,2.1,312.6,4,,0,1920x1080,AMD,A9-Series 9420,3,128GB HDD,,128,HDD,,
HP,Notebook,17.3,Full HD 1920x1080,AMD A9-Series 9420 3GHz,4GB,128GB HDD,AMD Radeon 520,Windows 10,1.91,319.0,4,,0,1920x1080,AMD,A9-Series 9420,3,128GB HDD,,128,HDD,,
HP,Notebook,17.3,1600x900,AMD A9-Series 9420 3GHz,4GB,128GB HDD,AMD Radeon R5,Windows 10,2.6,333.0,4,,0,1600x900,AMD,A9-Series 9420,3,128GB HDD,,128,HDD,,
HP,Notebook,15.6,IPS Panel Full HD 1920x1080,AMD A9-Series A9-9420 3GHz,4GB,256GB SSD,AMD Radeon 530,Windows 10,1.95,414.9,4,,0,1920x1080,AMD,A9-Series A9-9420,3,256GB SSD,,256,SSD,,
HP,Notebook,15.6,Full HD 1920x1080,AMD A9-Series A9-9420 3GHz,4GB,256GB SSD,AMD Radeon 520,Windows 10,2.1,415.6,4,,0,1920x1080,AMD,A9-Series A9-9420,3,256GB SSD,,256,SSD,,
